Название предприятия,Ссылка на вебсайт компании,Описание компании
Сортавальский лесозавод,https://alestech.ru/factory/157-sortavalskiy-lesozavod,"ООО «Сортавальский лесозавод» основан в 2013 г. Осуществляет лесозаготовки и выпускает пиломатериалы естественной влажности и пиломатериалов влажностью 10–20%, технологическую щепу, сухие колотые березовые дрова.Продукция предприятия поставляется на экспорт в Финляндию, Эстонию, Латвию, Германию.На предприятии установлено оборудование:линия сортировки лесоматериалов Roosen с 2×12 сортировочными карманами с измерителем лесоматериалов Вектор-3D и металлодетектором Metalldect MD 900. Скорость подачи линии - 120 м/мин, производительность - до 500 м3в смену;окорочный станок Cambio 800;лесопильная линия AriVislanda мощностью 240 тыс. м3пиловочного сырья в год (скорость — до 110 м в минуту);линия сортировки пиломатериалов естественной влажности Renholmen;линия сортировки сухих пиломатериалов Hammars с системой управления от компании «Автоматика-Вектор»;дробильные машины Bruks и Erjo;комплекс котельных установок Agro Forst&Energietechnik - суммарная тепловая мощность - 9,1 МВт;сушильные камеры Baltbrand.В 2019–2020 гг. на Сортавальском лесозаводе осуществлялась модернизация производства. В рамках проекта предполагалось инвестировать более 400 млн рублей.Объём производства пиломатериалов в 2019 год составил 83,2 тыс. м3(102,7% к 2018 году).12 апреля 2023 г. заключена сделка, в результате которой ООО «Сортавальский лесозавод» вошло в состав активовИнвестиционной группы «Базальт».В ноябре 2023 г. проведена модернизация лесопильной линии - установлена система подачи с функцией выравнивания бревен по вершине и новое устройство поштучной выдачи пиловочного сырья. Производительность оборудования, в зависимости от длины пиловочника, увеличилась на 5-30%.В декабре 2023 г. запущены в эксплуатацию три новых сушильных камеры объёмом 190 м³ каждая. Теперь сушильный комплекс обеспечивает возможность единовременной загрузки до 2380 м³ пиломатериалов. Также в декабре предприятие получило свидетельство VGM, удостоверяющее, что весовое оборудование предприятия обеспечивает возможность компании самостоятельно определять проверенную массу брутто-контейнеров, что необходимо для морских перевозок.В 2023 г. предприятие получило 42,8 млн руб. в виде компенсации на транспортные расходы.На февраль 2024 г. - до 70% продукции экспортируется в Китай, Египет, Турцию, Южную Корею и в другие страны.В планах предприятия — организация производства топливных брикетов из древесного угля, которые могут поставляться для металлургических предприятий."
Сосновский леспромхоз,https://alestech.ru/factory/590-sosnovskij-lespromhoz,"Сосновский леспромхоз осуществляет лесозаготовку, распиловку древесины и производство пиломатериалов и пеллет.Ежегодный объем заготовки компании составляет 55 тыс. м3древесины. В лесозаготовительных работах задействованы три механизированных бригады лесорубов, более двадцати единиц автотехники, харвардер Ponsse Buffalo Dual 8W.Лесопильный цех предприятия может производит до 1000 м3пиломатериалов в месяц. Мощность линии гранулирования — 7 тонн пеллет в сутки.Выручка ООО «Сосновский леспромхоз» в 2020 г. составила 140,43 млн рублей, чистая прибыль — 10,66 млн рублей."
Сосьва-Лес,https://alestech.ru/factory/334-sosva-les,"«Сосьва-Лес» — лесоперерабатывающее предприятие, производственные мощности которого расположены в г. Серов, г. Волчанск и пос. Красноглинный Свердловской области.Инвестпроект ООО «Сосьва-Лес» по модернизации лесоперерабатывающего завода был включен в перечень приоритетных инвестиционных проектов в области освоения лесов. Стоимость проекта — 507 млн руб. (все средства — заёмные). Планируемая мощность производства по проекту:пиломатериалы — 44 тыс. м3;шпон — 15,5 тыс. м3;детали для строительства — 7,7 тыс. м3;пеллеты — 12,6 тыс. м3;технологическая щепа — 27,5 тыс. м3.Согласно данным системы ЛесЕГАИС расчетная лесосека ООО «Сосьва-Лес» по договорам 2008, 2009, 2018 и 2019 гг. составляет 310,8 тыс. м3древесины в год.В октябре 2022 г. компания запустила новую производственную площадку в пос. Красноглинный Серовского района по выпуску обрезных пиломатериалов на базе оборудования российского и турецкого производства в объеме 2500 м3в месяц, шпона, профильных материалов из древесины и топливных гранул. На площадке разместились цех по производству березового шпона, сушильный комплекс, две котельные, лесопильное оборудование, линии сортировки брёвен и досок. Объем инвестиций – 600 млн руб. Создано 200 новых рабочих мест. Своей работой на новой площадке предприятие гарантирует стабильное функционирование объектов социально-культурного назначения в территории – школ и больниц.По данным портала Чекко, выручка компании ООО «Сосьва-Лес» в 2021 г. составила 769,6 млн руб.Чистая прибыль – 113,5 млн руб. Среднесписочная численность сотрудников – 163 человека."
СП Гефест,https://alestech.ru/factory/571-sp-gefest,"ООО «СП Гефест» осуществляет заготовку древесины и производит пиломатериалы, а также выращивает различные сорта картофеля и зерновые в Прокопьевском районе Кемеровской области.В ассортименте продукции предприятия — обрезные пиломатериалы из древесины пихты, березы, осины."
Спектр,https://alestech.ru/factory/1259-spektr,"Предприятие работает с 2007 г. Занимается заготовкой круглых лесоматериалов, производством пиломатериалов, производством деревянных строительных конструкций и столярных изделий.Производственные мощности обеспечивают возможность распиловки до 2,5 тыс. м3круглых лесоматериалов в месяц.В 2020 г. НПФ «Техпромсервис» установила на предприятии поперечный подъемный транспортер, разгонный модуль и выполнила автоматизацию управления."
СПК Росток,https://alestech.ru/factory/142-spk-rostok,"СПК «Росток» более 10 лет  занимается лесозаготовкой и переработкой древесины. Производственная база предприятия занимает площадь 70 тыс. м2.СПК «Росток» производит мебельный щит, вагонку из кедра, липы, осины, пиломатериалы обрезные и строганые."
Стаблес,https://alestech.ru/factory/490-stables,"Компания «Стаблес» производит березовый шпон, обрезные хвойные пиломатериалы и пеллеты. Компания имеет в аренде лесные участки общей площадью 50 тыс. га.Объем производства в месяц: до 1500 м3березового шпона, до 600 м3пиломатериалов, до 900 тонн пеллет.Продукция имеет сертификат FSC, на пеллеты получен сертификат ENplus.Более 80% продукции компании поставляется на экспорт — в Китай, Японию, Польшу, Данию, Италию и другие страны.ООО «Стаблес» образовано в 2013 году."
СТОД,https://alestech.ru/factory/110-stod,"ООО «Современные технологии обработки древесины» осуществляет производство LVL (первое подобное производство в Росссии), шпона, OSB, домокомплектов и пеллет в г. Торжок Тверской области.OSB и LVL реализуются под торговой маркой Ultralam.Производство LVL началось в 2009 г. на заводе«Талион Терра», самом крупным заводом по производству LVL в Европе, производительность — 150 тыс. м3в год с перспективой увеличения до 250 тыс. м3. На заводе запущен единственный в мире 60‑метровый пресс Dieffenbacher непрерывного действия. Предприятие способно производить балки LVL любой длины вплоть до бесконечной.В 2016 г. запущенно производство OSB типа 3 и 4 на заводе«Талион Арбор», мощность завода — 500 тыс. м3плит в год.Завод по производству домокомплектов и дополнительной обработки LVL‑бруса может выпускать до 40 тыс. м2домокомплектов и производить сложные больше­пролетные конструкции с пролетом до 40 метров. Холодный пресс позволяет производить балки LVL с сечением 600×2000 мм и длиной до 18 метров. Также есть дополнительная линия покраски и обработки антисептиками и антипиренами. Компания кроме производства осуществляет проектирование, монтаж конструкций из LVL непосредственно на объекте, комплектацию строительных объектов и т. д.Мощность пеллетного производства — 60 тыс. т в год.В 2017 году было объявлено о проекте «СТОД‑Урал» в Свердловской области. По нему предполагалось строительство двух заводов — OSB мощностью 300 тыс. м3в год и LVL‑бруса мощностью 80 тыс. м3в год в рамках ОЭЗ «Титановая долина». Запланированный объем инвестиций — 15 млрд рублей. Однако в 2019 году «СТОД» объявила о прекращении проекта в связи с отсутствием гарантий строительства железнодорожных подъездных путей к моменту открытия первого завода.В апреле 2020 года ООО «Современные технологии обработки древесины» внесено в Перечень системообразующих предприятий Минпромторга России (критерии для лесопромышленного комплекса: выручка — не менее 5 млрд руб., численность работников — не менее 500).По данным ФГБУ «Рослесинфорг» ООО «Современные технологии обработки древесины» является лидером по объему лесозаготовки в Центральном федеральном округе. В 2020 г. компания заготовила 780,5 тыс. м3древесины.В январе 2022 г. ВЭБ.РФ сообщил, что кредиторы приняли решение ходатайствовать в суде о признании банкротом и введении конкурсного производства в отношении компании «СТОД». ВЭБ.РФ планирует сохранить персонал предприятия и не исключает внебанкротного урегулирования задолженности. ВЭБ.РФ финансировал строительство завода по производству OSB-плит.По итогам 2022 г. объем заготовки круглых лесоматериалов составил около 1 млн м3.В ноябре 2023 г. компания начала переговоры с Правительством Архангельской области по участию в программе строительства деревянных домов и ФАПов в Архангельской области."
Строительное управление-43,https://alestech.ru/factory/598-stroitelnoe-upravlenie-43,"Компания «Строительное управление-43» («СУ43») осуществляет лесозаготовку и лесопиление, производит клеёный брус и деревянные дома.Предприятие арендует участки лесного фонда с расчётной лесосекой 40 тыс. м3древесины в год, а связанное с ним ООО «Партнёр» арендует лесной фонд с расчётной лесосекой 145,6 тыс. м3древесины в год.Цех лесопиления обладает мощностью 13,2 тыс. м3пиломатериалов в год. Сушка пиломатериала производится в итальянских сушильных камерах общим объёмом единовременной загрузки 320 м3.В 2013 г. компания ввела в эксплуатацию линию производства пеллет, производительность – 4,8 тыс. тонн в год.Также компания производит до 36 домокомплектов в год.Основными породами древесины, используемыми в производстве, является сосна и ель."
Стройлес,https://alestech.ru/factory/119-stroyles,"ООО «Стройлес» осуществляет лесозаготовку, переработку древесины и изготовление домов из клееного бруса в Даровском районе Кировской области с 2008 г.В 2017 г. компанией ПО «Теплоресурс» на предприятии был установлен котёл серии КТУ-1500, модель КМТ с подвижной колосниковой решеткой, и организован топливный склад.Инвестиционный проект ООО «Стройлес» по организации лесозаготовки и переработке древесины, производству деревянных домов из клееного бруса получил статус приоритетного проекта в области освоения лесов и был признан реализованным в 2018 г.Объёмы производства по проекту:Лесозаготовка — 100 тыс. м3Дома из клееного бруса — 19,6 тыс. м3Строганые изделия — 4,5 тыс. м3Пеллеты — 4,4 тыс. т"
Суда,https://alestech.ru/factory/372-suda,"Закрытое акционерное общество «СУДА» основано в 1989 году. Директор ЗАО «Суда» — Аркадий Геннадьевич Алексеев — руководит предприятием с момента образования и по настоящее время.С 1996 года основной вид деятельности ЗАО «Суда» — лесозаготовка и производство пиломатериалов, включая строганые.Согласно данным системы ЛесЕГАИС на январь 2022 г., ЗАО «Суда» имеет договора от 2008 г. на аренду лесных участков в Бабаевском лесничестве с расчетной лесосекой 2,7 млн м3древесины.ЗАО «Суда» проходило FSC-сертификацию совместно сООО «Сивец»в рамках группы ЗАО «Австрофор» (холдинг«Вологодские лесопромышленники»).Выручка ЗАО «Суда» в 2020 г. составила 62,2 млн рублей (в 2018 г. — 114,1 млн рублей), чистая прибыль — 373 тыс. рублей (в 2018 г. убыток составил 3,5 млн рублей)."
Сургутмебель,https://alestech.ru/factory/289-surgutmebel,"ООО «Сургутмебель» — крупное деревообрабатывающее предприятие в Ханты-Мансийском автономном округе, занимающееся лесозаготовкой и переработкой древесины. Предприятие образовано в 1993 г. как структурное подразделение «Сургутнефтегаз», в 1997 г. преобразовано в ООО «Сургутмебель». Площадь производственной базы - 8,36 га.Предприятие арендует лесные участки в Самаровском лесничестве Ханты-Мансийского района. Размер разрешенной заготовки древесины составляет 92 тыс. м3хвойной древесины. Общая площадь арендной базы - 120 тыс. га.Компания производит пиломатериалы, погонажные изделия, мебельные плиты, изготавливает мебель и столярные изделия (окна, двери, лестницы). В 2001 г. предприятие освоило новую TPS-технологию по выпуску стеклопакетов на оборудовании немецкой фирмы Lenhard. На предприятии работает участок производства стеклопакетов, пластиковых окон, стеклодизайна.С 2008 г. налажено производство пеллет на оборудовании компании CPM (Голландия). Объем производства — более 2000 т в месяц.Компания «Сургутмебель» также занимается каркасным деревянным домостроением, предлагает блочно-модульные здания заводской готовности, широкий ассортимент малых архитектурных форм из цельной древесины сосны и лиственницы, а также термомодифицированной древесины.Приоритетное направление работы компании — производство мобильных зданий (вагон-дома). С 2001 г. специалисты ООО «Сургутмебель» разработали и наладили производство зданий мобильных модели «Комфорт С». Производственные мощности компании позволяют изготавливать до 200 мобильных зданий в месяц.Дополнительно ООО «Сургутмебель» осуществляет изготовление и монтаж металлоконструкций различного назначения, поставки нефтяного оборудования, такого как БРВ (блок распределения воды) и АГЗУ (автоматизированная групповая замерная установка). «Сургутмебель» является официальным представителем пеллетных горелок «Пелетрон» в Сургуте.В декабре 2023 г. компания отмечена ТПП Ханты-Мансийского автономного округа-Югры Дипломом победителя окружного конкурса - Лучший товар Югры 2023 - в номинациях двери, окна, мебель, евровагонка, древесные топливные гранулы (пеллеты)."
Сыктывкарский ЛПК,https://alestech.ru/factory/9-mondi-slpk,"Сыктывкарский ЛПК (бывший АО «Монди Сыктывкарский ЛПК») — один из лидеров целлюлозно-бумажной промышленности и крупнейший производитель бумаги в России. Предприятие ежегодно выпускает около 1,3 млн тонн продукции: офисной, офсетной, газетной бумаги, тарного картона и товарной целлюлозы. На долю комбината приходится почти треть от объёма лесозаготовок в Республике Коми.Комбинат запущен 25 июня 1969 г. и является предприятием полного производствен­ного цикла: от заготовки сырья до отгрузки готовой продукции потребителю.Сыктывкарский ЛПК располагает тремя бумагоделательными машинами, одной картоно­делательной и одной сушильной машиной для производства товарной целлюлозы. На комбинате есть также древесно-подготовительное производство, целлюлозный завод, ТЭЦ и комплекс очистных сооружений. Компания ведет лесо­заготови­тельную деятельность в семи районах Республики Коми. Всего на предприятии и на лесо­заготовительных участках работают около 4600 человек.Производственные мощности комбината имеют стратегическое значение и для жителей Республики Коми. Так, водоочистные сооружения Сыктывкарского ЛПК очищают свыше 80 млн м3сточных воды в год, в том числе 100% сточных вод Сыктывкара, Эжвинского района и близлежащих промышленных предприятий. В корьевых котлах ТЭЦ сжигается 100% коро­древесных отходов производства, доля зеленой энергии в общем энергобалансе составляет не менее 40%. С 2017 по 2020 гг. на предприятии проведен первый этап модернизации ТЭЦ. Построены самый крупный в России корьевой котел, паровая турбина, главное распределительное устройство, трансформатор, установка подготовки питательной воды, склад кородревесных отходов. В результате предприятию удалось снизить потребление природного газа на 127 млн м3в год и на 200 тыс. т в год снизить выбросы углекислого газа. ТЭЦ предприятия обеспечивает около 17% от потребности региона в электроэнергии, а также является единственным источником тепла и горячей воды для Эжвинского района Сыктывкара с населением около 60 тысяч человек. Совокупная мощность ТЭЦ комбината - 529 МВт.Лесная арендная база компании (2,1 млн га) на 100% сертифицирована в соответствии со стандартами FSC. Лесоуправление и цепочка поставок древесины предприятия сертифицированы в соответствии со стандартами FSC, PEFC и ISO 14001. В собственном питомнике ежегодно выращивается 8,5 млн сеянцев сосны и ели с ЗКС.В апреле 2020 г. компания внесена в Перечень системо­образующих предприятий Минпромторга России (критерии для лесо­промышленного комплекса: выручка — не менее 5 млрд руб., численность работников — не менее 500).В июле 2020 г. на предприятии запустили в пуско­наладочном режиме установку по производству таллового масла мощностью около 40 тыс. т в год.По данным за 2020 год Сыктывкарский ЛПК заготовил 3,4 млн м3древесины, произвело 654,3 тыс. т бумаги и 317,7 тыс. т картона, инвестиции в основной капитал составили 7,6 млрд рублей, выручка — 61 млрд рублей, чистая прибыль снизилась на 18,1% до 11,7 млрд рублей.В 2021 г. комбинат планирует завершить большинство задач проекта «Горизонт», включённого в перечень приоритетных инвест­проектов в области освоения лесов. Проект с общим объёмом инвестиций 8,2 млрд рублей позволит нарастить мощности целлюлозного производства и увеличить выпуск продукции на 168 тыс. т, обеспечить создание 98 рабочих мест.В марте 2021 г. предприятие успешно прошло сертификационный аудит на соответствие требованиям нового глобального стандарта ISO 45001 «Системы менеджмента профессионального здоровья и безопасности труда».В апреле 2021 г. Сыктывкарский ЛПК официально открыл модернизированную ТЭЦ после завершения важного этапа модернизации тепло­электро­централи, включающего установку нового корьевого котла, паровой турбины и модернизацию распределительной сети. Модернизация ТЭЦ позволила предприятию улучшить экологические показатели, сократив объем выбросов углекислого газа более чем на 200 тыс. т в год. Инвестиции в первый этап проекта составили 135 млн евро. На ТЭЦ установлен самый крупный в России паровой котел по сжиганию отходов целлюлозно-бумажной промышленности, впервые на комбинате применены малогабаритные токопроводы с литой изоляцией для подключения генератора и трансформатора к сети вместо открытых гибких связей, полностью автоматизированы пуск турбины и изменение нагрузки котла и подачи КДО на сжигание. В ходе проекта был построен комплекс объектов: корьевой котел, паровая турбина, главное распределительное устройство, трансформатор, установка подготовки питательной воды и склад коро­древесных остатков.В сентябре 2021 г. Клаус Пеллер заявил, что в ближайшие три с половиной года компания инвестирует в производство 300 млн евро.10 декабря 2021 г. на заводе состоялся торжественный запуск новой выпарной станции № 5 — крупнейшего объекта инвестиционной дорожной карты «Горизонт» в рамках текущей модернизации мощностей с целью увеличения общей производительности комбината, реализация которой стартовала в 2017 году. Вложения Mondi в комплекс инвестпроектов составили около 125 млн евро. Рост выпуска высоко­качественной бумажной продукции составит около 10% после ввода в эксплуатацию всего комплекса проектовВ ходе реализации дорожной карты «Горизонт» на комбинате завершены следующие инвестиционные проекты:Модернизация линий волокна. Увеличена производительность лиственного и хвойного потоков.Модернизация сушильной машины. Увеличение производства товарной целлюлозы.Установка дополнительных баков для хранения целлюлозы объемом 6 тыс. и 10 тыс. м3.Строительство установки по производству таллового масла из сульфатного мыла, образующегося в процессе регенерации щелоков на производстве целлюлозы. Мощность установки — 40 тыс. т в год.Строительство дополнительного железнодорожного пути длиной 645 м. Повышение эффективности внутренней логистики предприятия.Строительство новой выпарной станции мощностью 380 тонн по выпаренной воде в час, что позволит перерабатывать весь черный щелок с хвойного потока. В результате общая производительность всех выпарных станций предприятия вырастет на 25%, а выбросы образующихся в результате переработки щелока газов сократятся.В апреле 2022 г. комбинат запустил образовательный проект «Школа будущего специалиста», в рамках которого подготовят специалистов по КИПиА. Уже запланированы обучающие мероприятия, встречи с сотрудниками предприятия и практические занятия.В начале мая 2022 г. Совет директоров Mondi Group принял решение продать российские активы.По состоянию на 31 декабря 2021 г. стоимость чистых активов российских предприятий Mondi Group, на которых работает 5,3 тыс. человек, составляла €687 млн.Полный текст пресс-релизаПоданным Минпромторга, в конце мая 2022 г. на заводе запустили производство пищевого картона мощностью 4–5 тыс. т в месяц. Картон «KomiPak» и «KomiBase» ранее закупался российскими потребителями в Финляндии и Швеции. Оба вида картона имеют беленый поверхностный слой.28 августа 2022 г. компания в плановом порядке остановила предприятие для проведения ежегодного капитального ремонта технологического оборудования. Длительность ремонта - две недели. Запланирована реализация 20 инвестиционных проектов. Основные работы направлены на модернизацию и ремонт ТЭЦ, очистных сооружений, бумагоделательных машин, участка производства целлюлозы и древесно-подготовительного цеха.В сентябре 2022 г. компания запускает производство собственных брендов офисной бумаги Projecta и Cartblank, которые заменят бренды IQ, MAESTRO и Communicator. Комбинат продолжит выпуск офисной бумаги под брендом «Снегурочка» и под брендами клиентов.В январе 2023 г. компания объявила о начале производства офисной бумаги для профессиональной цветной печати Cartblank Digi плотностью 160 г/м2. Кроме того, бумага сертифицирована для архивного хранения согласно ГОСТ Р ISO 9706-2000.В феврале 2023 г. стало известно, что компания запускает производство полной линейки офисной бумаги марок А, В и С под новым брендом «Чайка».В марте 2023 г. на предприятии завершены работы по созданию единой автоматизированной системы учета лесозаготовительной деятельности комбината на базе российсккого программного обеспечения.По итогам 2022 г. объем заготовки круглых лесоматериалов составил 3,042 млн м3(+6,07%). Основная сырьевая база находится в Республике Коми.12 августа 2022 г. Mondi заключила соглашение о продаже «Монди СЛПК» (вместе с двумя дочерними структурами) компании Augment Investments Limited за 95 млрд руб. (около 1,5 млрд евро). Augment - инвестиционная компания, контрольный пакет акций которой принадлежит Виктору Харитонину. В декабре 2022 г. Российские власти отклонили ходатайство совладельца «Фармстандарта» Виктора Харитонина о приобретении предприятия. Возможная причина — слишком высокая цена сделки. 5 июня 2023 г. стало известно, что Группа Mondi plc вышла из сделки по продаже АО «Монди Сыктывкарский ЛПК» компании Augment Investments Limited по причине «отсутствие прогресса в получении необходимых разрешений для завершения этой транзакции». В августе 2023 г. стало известно, что Mondi рассчитывает продать «АО «Монди Сыктывкарский ЛПК» в течение 12 мес. В отчете за январь-июнь 2023 г. Mondi учла обесценение Сыктывкарский ЛПК на 97 млн евро.9 июня 2023 г. на комбинате состоялось знаковое событие - в этот день была сварена двадцатипятимиллионная тонна целлюлозы с начала работы комбината в 1969 г.В июле 2023 г. Монди СЛПК завершил ребрендинг бумаг для профессиональной печати, объединив их под зонтичным брендом Komi.В сентябре компания запустила новый продуктовыйсайтоб офисной бумаге Projecta.18 сентября 2023 г. компания Zetta Consulting сообщила, что будущим владельцем Монди СЛПК станет московский девелопер Sezar Group. Стоимость сделки составляет 80 млрд руб. (775 млн евро). Сделка одобрена Федеральной антимонопольной службой и Правительственной комиссией по контролю за осуществлением иностранных инвестиций4 октября 2023 г. стало известно, что группа Mondi досрочно завершила основную часть сделки по продаже Монди СЛПК компании «Сезар Инвест», дочернему предприятию московской девелоперской компании Sezar Group. Группа получила 57 млрд руб. В декабре 2023 г. группа Mondi plc получила последние два транша на сумму 23 млрд руб. Общая сумма сделки составила 80 млрд руб.В октябре 2023 г. стало известно, что до конца 2023 г. на упаковке продукции предприятия появится знак собственного «Стандарта цепочки поставок и организации производства».В ноябре 2023 г. компания АО «Монди СЛПК» изменила фирменное наименование на Акционерное общество «Сыктывкарский ЛПК» (АО «СЛПК»).5 января 2024 г. в результате прорыва диафрагмы, сработал предохранитель на линии газов, на 5 выпарной станции произошла утечка промышленного газа с содержанием метанола. Утечка была устранена в течение 10 мин.В январе 2024 г. предприятие прошло проверку на соответствие лесоуправления и цепочки поставок новой Национальной системе лесной сертификации.В 2024 г. должен начаться второй этап обновления ТЭЦ, который продлится 3,5 г. Объем инвестиций в строительство нового газового котла - 12 млрд руб. Его запуск позволит снизить выбросы СО2в атмосферу на 80 тыс. т в год.По данным предприятия на февраль 2024 г. — комбинат обеспечен лесозаготовительным оборудованием на 1,5—2 г. вперед, но планирует обновление и харвестеров, и форвардеров.В феврале стало известно о планах предприятия по переводу до конца 2024 г. всех бумагоделательных машинах предприятия на кукурузный катионный крахмал российского производства для проклейки бумаги и картона, который должен заместить картофельный, ранее поставлявшийся из Финляндии и Германии.В марте 2024 г. предприятие заключило договор с транспортно-экспедиторской компанией «Модуль, выбрал ее в качестве ключевого экспедитора по морским перевозкам на внешние рынки бумажной и картонной продукции, а также сухой товарной целлюлозы. Грузы будут доставляться в контейнерах от предприятия в Сыктывкаре через порты Санкт-Петербурга, Новороссийска и Дальнего Востока в Китай, Турцию, ОАЭ, Египет, страны СНГ, Индию, Шри-Ланку и по другим направлениям. Также «Модуль» берет на себя обязательства по подаче порожних контейнеров и обеспечению их резерва на комбинате под будущие погрузки.Также в марте 2024 г. стало известно, что специалисты Сыктывкарского ЛПК, совместно с подрядчиками, за 4 месяца своими силами отремонтировали турбину Siemens. Отсутствовавшие в наличии запасные части сконструировали и изготовили в рамках реверс-инжиниринга. В условиях ремонтной площадки комбината заменили уплотнения турбины. Для правки лопаток ротора турбины применили особую технологию, а для ремонта ротора генератора подобрали аналоги изоляционных материалов."
